business_id,latitude,longitude,restaurant_stars,review_count,cat_Nightlife,cat_Food,cat_Bars,cat_American_(New),cat_Breakfast_&_Brunch,cat_Sandwiches,cat_Pizza,cat_American_(Traditional),cat_Italian,cat_Coffee_&_Tea,cat_Beer,cat_Wine_&_Spirits,cat_Cocktail_Bars,cat_Mexican,cat_Burgers,cat_Seafood,cat_Pubs,cat_Gastropubs,cat_Cafes,cat_Wine_Bars,cat_Other,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5
MTSW4McQd7CbVtyjqoe9mw,-0.14135661104609493,0.12546995570102754,0.43322277973760104,-0.6744028956136614,1.5953595604407314,12.849014892704009,13.485624425242497,21.19154046704255,5.808005000673672,20.07045565389652,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
QdN72BWoyFypdGJhhI5r7g,-0.6141355244724596,0.07130987655175411,0.43322277973760104,-0.701136564181234,3.36169986093294,1.7275562879522874,10.913976282849443,8.651807988210367,1.6275954666227517,2.7173641134322044,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mjboz24M9NlBeiOJKLEd_Q,1.8775514195243006,-1.6798984311158298,-1.2806814446324597,-0.7439104338893502,0.0167283111212212,1.0009831131137166,0.0168200933909924,0.1670052731596566,0.1379729626968312,0.6604902465175814,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
aPNXGTDkf-4bjhyMBQxqpQ,0.07201550468614297,0.6982114019243585,-0.42372933244742933,-0.701136564181234,7.429470857272667,15.185252165211072,37.500397307191264,34.59283135419232,9.397049287922124,17.89499902821053,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-4dYswJy7SPcbcERvitmIg,-0.5967076425792307,-0.9601263983258141,-2.13763355681749,-0.7563861458875508,0.142557330117443,0.400576162093453,3.029002077093273,3.379553391433162,1.2255419201446764,0.8227691191179927,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WYYdQDjx-DsCanlP0DpImQ,-0.3967856675622299,0.0716742076654132,1.2901748919226315,-0.6886608521830335,1.9886405575115875,3.414497395820181,7.327398191815556,7.689091167320658,1.4353004404212697,4.1450722471107415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
FTFtoylMzkrzqNVSl-bkKw,-0.1105186011739373,-0.5204254793857588,0.43322277973760104,-0.7831198144551235,1.3272333522364497,0.7817302044899278,7.610357846178704,8.698456022767852,4.19636548714336,1.3858570871837002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
O1oZpbZNDMH_gz8DhsZCdA,1.5662414152346469,1.2921080591493106,-3.851537781187551,-0.7902487927398094,0.0417317247846192,0.0422093609954052,0.3312971545072566,0.5702601135868458,0.9740387287784028,1.0404629173474698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n8ecak12IF_jhnPNs37AZA,0.5030983939603039,1.2588863508078034,1.2901748919226315,-0.795595526453324,0.1955245407083476,0.8423240115773625,6.86962060237083,1.3923831286411306,3.5167635219907547,3.1833841947115693,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
e8pMCk4bE0U4qk7z59Lxkg,0.08588172238397984,-0.4102950242518703,1.2901748919226315,-0.7973777710244955,0.1066544955267851,2.325876632490047,3.909337785354231,0.1434786941466627,0.4646108388027057,0.0500415536795666,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
